Team,Shooting Factor,Turnover Factor,Rebounding Factor,Free Throw Factor
Atlanta Hawks,-0.9941683473370782,-0.8670562522165555,-1.5387190918013967,0.4141716582755491
Boston Celtics,0.8627135180967721,1.0277750891091213,0.6394199640797317,0.47773265533763837
Brooklyn Nets,0.35556231026681684,-1.6605659464392164,0.4459544758608865,0.03280567590301217
Charlotte Hornets,-1.5054378997511966,-0.1414619161881867,-0.7011372374603969,-1.0477312741525022
Chicago Bulls,-1.0743676170004224,2.063631627345641,-0.714273899450381,-1.4926582535871271
Cleveland Cavaliers,-1.340578713837081,-2.259446888129868,0.9493140707241116,-1.746902241835484
Dallas Mavericks,0.7179898976237199,-0.5028327124161793,0.39721463137342033,0.47773265533763837
Denver Nuggets,0.15397987194083784,0.46530737383501286,0.7583655188279603,-1.0477312741525022
Detroit Pistons,-0.4563344815371789,-0.8947484245937809,-0.563842677097392,-0.7934872859041467
Golden State Warriors,-1.9801614065117266,0.44075324618745704,-0.9030168845656579,0.5412936523997276
Houston Rockets,0.31615770096251705,0.8774040976838987,-1.5102447238620265,1.748952596579422
Indiana Pacers,0.8407988533972922,0.8372686713424924,-1.5032451814568928,-1.8104632388975734
League Average,0.04308216176056909,0.0018439102957467255,0.016931762965780184,0.03280567590301217
Los Angeles Clippers,1.0805386959162067,-0.3169785316641387,0.5457069422285863,1.8760745907036005
Los Angeles Lakers,1.0200500575861975,0.5964500860782149,1.5375673518127777,-0.09431631822116493
Memphis Grizzlies,0.27702471239644155,-0.3077322780111028,0.31658157720356533,-0.7934872859041467
Miami Heat,0.8808616112953171,-0.7071350590506618,-0.011626064764447455,1.1769036230206187
Milwaukee Bucks,2.320083385659869,-0.7217409703695065,1.070135080977422,0.2870496641513706
Minnesota Timberwolves,-0.9847190294078257,0.2327899890894351,-0.31016774151488774,0.7955376406480832
New Orleans Pelicans,0.28272385851754056,-1.17729558503524,0.9237035707727191,-0.47568230059369904
New York Knicks,-1.3905748734736254,-0.16376905486969698,1.7888094425499819,-0.9841702770904145
Oklahoma City Thunder,0.4773201700878112,0.15150298444321172,-1.7343035095981423,1.240464620082708
Orlando Magic,-0.9619959259496044,1.3930954791794767,0.688510483665068,-0.15787731528325277
Philadelphia 76ers,0.41616688830902576,-0.15971948110469064,1.9313314320979083,-0.602804294717879
Phoenix Suns,-0.15270342571407544,0.52186976262086,0.48882823148980714,1.3040256171447973
Portland Trail Blazers,0.14717959709205902,-0.056560739357357254,-1.0107210550775227,-0.09431631822116493
Sacramento Kings,-0.2533493400677463,0.5403529450001455,0.14108293471062702,-1.36553625946295
San Antonio Spurs,-0.3079193189331481,0.3426689892580228,-0.35874366935246654,0.731976643585994
Toronto Raptors,1.2584950560811243,1.1600024594797358,-0.8685475169475271,0.4141716582755491
Utah Jazz,1.1807126226676654,-2.060912057403891,0.2031827947327086,-0.030755321159075675
Washington Wizards,-1.2291305901370748,1.3452391859015995,-1.1140510131239254,0.9862206318343509
